gender,age,f-edu,m-edu,income,event,duration,p1,p2,p3,p4,p5,s1,s2,s3,s4,s5,c1,c2,c3,c4,c5,e1,e2,e3,e4,e5
Female,20,College,Masters," 76,669 -  131,484",0,40,4,4,5,4,3,4,4,5,4,4,3,4,3,4,4,4,5,4,5,5
Male,19,College,High School," 21,194 -  43,828",1,31,5,5,4,5,3,3,3,5,4,3,4,5,3,4,5,4,4,4,4,4
Male,21,College,College," 9,520 to  21,194",0,40,1,1,2,3,1,1,1,1,3,2,1,1,1,1,1,3,3,4,3,4
Female,21,College,College," 9,520 to  21,194",0,40,3,4,4,5,3,5,4,5,4,3,3,4,4,4,4,4,4,4,5,4
Female,23,Elementary,Elementary,"Less than  9,520",0,40,4,4,3,2,3,5,4,5,5,4,3,3,3,3,4,4,3,3,4,3
Female,21,College,College,"Less than  9,520",0,40,4,5,4,4,5,5,4,4,4,4,5,4,4,5,4,4,4,3,4,4
Male,22,High School,High School,"Less than  9,520",0,40,4,4,4,3,4,5,4,5,4,4,3,3,3,4,4,4,3,3,3,3
Female,22,High School,College," 9,520 to  21,194",0,40,4,5,3,4,4,5,5,5,5,5,5,4,5,5,5,4,5,3,5,5
Female,21,High School,Elementary," 9,520 to  21,194",0,40,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5
Female,21,College,College," 9,520 to  21,194",0,40,4,4,4,4,4,5,5,5,4,3,3,4,4,4,4,4,4,3,4,5
Male,23,College,High School," 21,194 -  43,828",1,7,4,4,4,4,4,2,3,3,2,3,4,4,5,4,5,1,1,1,1,1
Female,21,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3
Female,21,High School,High School," 21,194 -  43,828",0,40,3,3,2,4,3,5,4,4,3,3,2,4,2,2,3,4,4,2,4,3
Female,21,College,College," 43,828 -  76,669",0,40,5,4,5,5,3,5,4,5,4,3,5,5,4,4,4,4,4,4,5,4
Female,18,High School,High School," 9,520 to  21,194",1,25,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,1,1,1,1,1
Female,22,High School,High School,"Less than  9,520",0,40,3,4,5,4,3,5,4,5,5,5,3,4,4,5,5,3,3,2,2,3
Male,23,No formal education,High School," 21,194 -  43,828",1,33,5,5,2,4,3,5,2,3,2,2,2,2,2,3,3,3,4,3,3,2
Female,24,High School,High School," 9,520 to  21,194",0,40,4,4,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3
Female,20,High School,Elementary,"Less than  9,520",0,40,3,4,5,2,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,2
Male,18,College,College,"Less than  9,520",0,40,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4
Female,21,Elementary,High School,"Less than  9,520",0,40,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3
Female,20,Elementary,Elementary," 9,520 to  21,194",1,8,4,5,3,3,4,5,5,4,2,3,3,3,4,4,4,3,3,3,2,3
Female,20,Elementary,High School,"Less than  9,520",0,40,4,4,5,4,4,5,5,4,3,4,4,4,5,5,5,3,4,2,3,1
Male,20,College,Elementary,"Less than  9,520",1,29,3,3,4,4,3,5,4,3,3,4,3,3,3,4,4,3,3,3,3,3
Male,20,College,High School," 9,520 to  21,194",0,40,4,4,5,3,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4
Female,20,High School,High School," 9,520 to  21,194",0,40,4,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5
Male,22,College,College,"Less than  9,520",0,40,5,4,3,4,2,3,3,5,4,5,2,3,3,3,3,3,1,1,3,3
Female,21,College,College," 21,194 -  43,828",0,40,3,3,3,4,3,5,4,4,4,4,3,3,3,3,3,4,4,3,4,4
Male,21,No formal education,No formal education,"Less than  9,520",0,40,3,3,2,4,3,4,3,5,5,4,3,4,3,4,3,3,1,3,3,2
Female,21,High School,College," 9,520 to  21,194",0,40,5,4,4,5,4,5,5,5,4,4,3,3,3,5,5,4,4,3,3,5
Female,21,Elementary,High School," 21,194 -  43,828",0,40,3,4,5,4,4,5,3,4,4,4,3,3,4,4,4,3,4,3,3,3
Male,22,High School,High School," 9,520 to  21,194",0,40,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5
Female,21,High School,Elementary," 9,520 to  21,194",0,40,4,3,4,4,3,5,4,4,4,3,3,4,4,4,4,4,4,4,4,4
Female,20,Elementary,High School," 9,520 to  21,194",0,40,3,4,3,5,4,5,4,5,5,3,4,4,3,4,4,4,3,3,5,3
Male,23,Elementary,Elementary,"Less than  9,520",1,36,3,3,3,3,3,2,4,4,3,4,4,4,4,4,4,1,1,1,1,1
